father,node_name,depth
Diseases,Bacterial Infections and Mycoses,1
Bacterial Infections and Mycoses,Bacterial Infections,2
Bacterial Infections,Bacteremia,3
Bacteremia,Hemorrhagic Septicemia,4
Bacterial Infections,Central Nervous System Bacterial Infections,3
Central Nervous System Bacterial Infections,Lyme Neuroborreliosis,4
Central Nervous System Bacterial Infections,"Meningitis, Bacterial",4
Central Nervous System Bacterial Infections,Neurosyphilis,4
Bacterial Infections,"Endocarditis, Bacterial",3
"Endocarditis, Bacterial","Endocarditis, Subacute Bacterial",4
Bacterial Infections,"Eye Infections, Bacterial",3
"Eye Infections, Bacterial","Conjunctivitis, Bacterial",4
"Eye Infections, Bacterial",Hordeolum,4
"Eye Infections, Bacterial","Keratoconjunctivitis, Infectious",4
"Eye Infections, Bacterial","Tuberculosis, Ocular",4
"Eye Infections, Bacterial","Uveitis, Suppurative",4
Bacterial Infections,Fournier Gangrene,3
Bacterial Infections,Gram-Negative Bacterial Infections,3
Gram-Negative Bacterial Infections,Aliivibrio Infections,4
Gram-Negative Bacterial Infections,Anaplasmataceae Infections,4
Gram-Negative Bacterial Infections,Bacteroidaceae Infections,4
Gram-Negative Bacterial Infections,Bartonellaceae Infections,4
Gram-Negative Bacterial Infections,Bordetella Infections,4
Gram-Negative Bacterial Infections,Borrelia Infections,4
Gram-Negative Bacterial Infections,Brucellosis,4
Gram-Negative Bacterial Infections,Burkholderia Infections,4
Gram-Negative Bacterial Infections,Campylobacter Infections,4
Gram-Negative Bacterial Infections,Cat-Scratch Disease,4
Gram-Negative Bacterial Infections,Chlamydiaceae Infections,4
Gram-Negative Bacterial Infections,Cytophagaceae Infections,4
Gram-Negative Bacterial Infections,Desulfovibrionaceae Infections,4
Gram-Negative Bacterial Infections,Enterobacteriaceae Infections,4
Gram-Negative Bacterial Infections,Flavobacteriaceae Infections,4
Gram-Negative Bacterial Infections,Fusobacteriaceae Infections,4
Gram-Negative Bacterial Infections,Helicobacter Infections,4
Gram-Negative Bacterial Infections,Legionellosis,4
Gram-Negative Bacterial Infections,Leptospirosis,4
Gram-Negative Bacterial Infections,Moraxellaceae Infections,4
Gram-Negative Bacterial Infections,Mycoplasmatales Infections,4
Gram-Negative Bacterial Infections,Neisseriaceae Infections,4
Gram-Negative Bacterial Infections,Pasteurellaceae Infections,4
Gram-Negative Bacterial Infections,Piscirickettsiaceae Infections,4
Gram-Negative Bacterial Infections,Pseudomonas Infections,4
Gram-Negative Bacterial Infections,Q Fever,4
Gram-Negative Bacterial Infections,Rat-Bite Fever,4
Gram-Negative Bacterial Infections,Rickettsiaceae Infections,4
Gram-Negative Bacterial Infections,Tick-Borne Diseases,4
Gram-Negative Bacterial Infections,Treponemal Infections,4
Gram-Negative Bacterial Infections,Tularemia,4
Gram-Negative Bacterial Infections,Vibrio Infections,4
Bacterial Infections,Gram-Positive Bacterial Infections,3
Gram-Positive Bacterial Infections,Actinomycetales Infections,4
Gram-Positive Bacterial Infections,Bacillaceae Infections,4
Gram-Positive Bacterial Infections,Bifidobacteriales Infections,4
Gram-Positive Bacterial Infections,Clostridium Infections,4
Gram-Positive Bacterial Infections,Erysipelothrix Infections,4
Gram-Positive Bacterial Infections,Listeriosis,4
Gram-Positive Bacterial Infections,Staphylococcal Infections,4
Gram-Positive Bacterial Infections,Streptococcal Infections,4
Bacterial Infections,"Pneumonia, Bacterial",3
"Pneumonia, Bacterial",Chlamydial Pneumonia,4
"Pneumonia, Bacterial","Pneumonia of Calves, Enzootic",4
"Pneumonia, Bacterial","Pneumonia of Swine, Mycoplasmal",4
"Pneumonia, Bacterial","Pneumonia, Mycoplasma",4
"Pneumonia, Bacterial","Pneumonia, Pneumococcal",4
"Pneumonia, Bacterial","Pneumonia, Rickettsial",4
"Pneumonia, Bacterial","Pneumonia, Staphylococcal",4
Bacterial Infections,"Sexually Transmitted Diseases, Bacterial",3
"Sexually Transmitted Diseases, Bacterial",Chancroid,4
"Sexually Transmitted Diseases, Bacterial",Chlamydia Infections,4
"Sexually Transmitted Diseases, Bacterial",Gonorrhea,4
"Sexually Transmitted Diseases, Bacterial",Granuloma Inguinale,4
"Sexually Transmitted Diseases, Bacterial",Syphilis,4
Bacterial Infections,"Skin Diseases, Bacterial",3
"Skin Diseases, Bacterial","Actinomycosis, Cervicofacial",4
"Skin Diseases, Bacterial","Angiomatosis, Bacillary",4
"Skin Diseases, Bacterial",Digital Dermatitis,4
"Skin Diseases, Bacterial",Ecthyma,4
"Skin Diseases, Bacterial",Erysipelas,4
"Skin Diseases, Bacterial",Erythema Chronicum Migrans,4
"Skin Diseases, Bacterial",Erythrasma,4
"Skin Diseases, Bacterial","Fasciitis, Necrotizing",4
"Skin Diseases, Bacterial",Granuloma Inguinale,4
"Skin Diseases, Bacterial",Hidradenitis Suppurativa,4
"Skin Diseases, Bacterial",Mycetoma,4
"Skin Diseases, Bacterial",Pinta,4
"Skin Diseases, Bacterial",Rhinoscleroma,4
"Skin Diseases, Bacterial",Staphylococcal Skin Infections,4
"Skin Diseases, Bacterial","Syphilis, Cutaneous",4
"Skin Diseases, Bacterial","Tuberculosis, Cutaneous",4
"Skin Diseases, Bacterial",Yaws,4
Bacterial Infections,Spirochaetales Infections,3
Spirochaetales Infections,Borrelia Infections,4
Spirochaetales Infections,Leptospirosis,4
Spirochaetales Infections,Treponemal Infections,4
Bacterial Infections,"Vaginosis, Bacterial",3
Bacterial Infections and Mycoses,Central Nervous System Infections,2
Central Nervous System Infections,Brain Abscess,3
Brain Abscess,"Toxoplasmosis, Cerebral",4
Central Nervous System Infections,Central Nervous System Bacterial Infections,3
Bacterial Infections and Mycoses,Infection,2
Infection,"Aneurysm, Infected",3
Infection,"Arthritis, Infectious",3
"Arthritis, Infectious","Arthritis, Reactive",4
Infection,"Bone Diseases, Infectious",3
"Bone Diseases, Infectious",Osteomyelitis,4
"Bone Diseases, Infectious",Periostitis,4
"Bone Diseases, Infectious",Spondylitis,4
"Bone Diseases, Infectious","Tuberculosis, Osteoarticular",4
Infection,Cardiovascular Infections,3
Cardiovascular Infections,"Endocarditis, Bacterial",4
Cardiovascular Infections,"Syphilis, Cardiovascular",4
Cardiovascular Infections,"Tuberculosis, Cardiovascular",4
Infection,Catheter-Related Infections,3
Infection,Coinfection,3
Infection,Communicable Diseases,3
Communicable Diseases,"Communicable Diseases, Emerging",4
Communicable Diseases,"Communicable Diseases, Imported",4
Communicable Diseases,Waterborne Diseases,4
Infection,Community-Acquired Infections,3
Infection,Cross Infection,3
Cross Infection,Healthcare-Associated Pneumonia,4
Cross Infection,"Pneumonia, Ventilator-Associated",4
Infection,Eye Infections,3
Eye Infections,Corneal Ulcer,4
Eye Infections,Endophthalmitis,4
Eye Infections,"Eye Infections, Bacterial",4
Eye Infections,"Eye Infections, Fungal",4
Infection,Focal Infection,3
Focal Infection,"Focal Infection, Dental",4
Infection,"Gingivitis, Necrotizing Ulcerative",3
Infection,Intraabdominal Infections,3
Intraabdominal Infections,Appendicitis,4
Intraabdominal Infections,Diverticular Diseases,4
Intraabdominal Infections,Peritonitis,4
Intraabdominal Infections,Typhlitis,4
Infection,Laboratory Infection,3
Infection,Ludwig's Angina,3
Infection,Opportunistic Infections,3
Opportunistic Infections,AIDS-Related Opportunistic Infections,4
Opportunistic Infections,Superinfection,4
Infection,Pelvic Infection,3
Pelvic Infection,Pelvic Inflammatory Disease,4
Infection,"Pregnancy Complications, Infectious",3
"Pregnancy Complications, Infectious","Abortion, Septic",4
"Pregnancy Complications, Infectious",Puerperal Infection,4
Infection,Prosthesis-Related Infections,3
Infection,Reproductive Tract Infections,3
Infection,Respiratory Tract Infections,3
Respiratory Tract Infections,"Empyema, Pleural",4
Respiratory Tract Infections,Whooping Cough,4
Infection,Sepsis,3
Sepsis,Bacteremia,4
Sepsis,Fungemia,4
Sepsis,Neonatal Sepsis,4
Sepsis,"Shock, Septic",4
Infection,Sexually Transmitted Diseases,3
Sexually Transmitted Diseases,"Sexually Transmitted Diseases, Bacterial",4
Infection,"Skin Diseases, Infectious",3
"Skin Diseases, Infectious",Cellulitis,4
"Skin Diseases, Infectious",Dermatomycoses,4
"Skin Diseases, Infectious",Paronychia,4
"Skin Diseases, Infectious","Skin Diseases, Bacterial",4
Infection,Soft Tissue Infections,3
Infection,Suppuration,3
Suppuration,Abscess,4
Suppuration,Cellulitis,4
Suppuration,Empyema,4
Suppuration,Hidradenitis Suppurativa,4
Suppuration,"Otitis Media, Suppurative",4
Suppuration,Pyomyositis,4
Suppuration,"Thyroiditis, Suppurative",4
Suppuration,"Uveitis, Suppurative",4
Infection,Toxemia,3
Toxemia,Endotoxemia,4
Infection,Urinary Tract Infections,3
Urinary Tract Infections,Bacteriuria,4
Urinary Tract Infections,Pyuria,4
Urinary Tract Infections,Schistosomiasis haematobia,4
Infection,Wound Infection,3
Wound Infection,Surgical Wound Infection,4
Bacterial Infections and Mycoses,Mycoses,2
Mycoses,Aspergillosis,3
Aspergillosis,Neuroaspergillosis,4
Aspergillosis,Pulmonary Aspergillosis,4
Mycoses,Candidiasis,3
Candidiasis,"Candidiasis, Chronic Mucocutaneous",4
Candidiasis,"Candidiasis, Cutaneous",4
Candidiasis,"Candidiasis, Invasive",4
Candidiasis,"Candidiasis, Oral",4
Candidiasis,"Candidiasis, Vulvovaginal",4
Mycoses,Central Nervous System Fungal Infections,3
Central Nervous System Fungal Infections,"Meningitis, Fungal",4
Mycoses,Coccidioidomycosis,3
Mycoses,Cryptococcosis,3
Cryptococcosis,"Meningitis, Cryptococcal",4
Mycoses,Dermatomycoses,3
Dermatomycoses,Blastomycosis,4
Dermatomycoses,"Candidiasis, Chronic Mucocutaneous",4
Dermatomycoses,"Candidiasis, Cutaneous",4
Dermatomycoses,Chromoblastomycosis,4
Dermatomycoses,Hyalohyphomycosis,4
Dermatomycoses,Lobomycosis,4
Dermatomycoses,Mycetoma,4
Dermatomycoses,Sporotrichosis,4
Dermatomycoses,Tinea,4
Dermatomycoses,Tinea Versicolor,4
Mycoses,"Eye Infections, Fungal",3
