label,title,index,depth,Actually Position
2,"Bacterial and fungal infections in acute-on-chronic liver failure: prevalence, characteristics and impact on prognosis.",1,2,C01.252
2,Use of (1???3)-??-d-glucan for diagnosis and management of invasive mycoses in HIV-infected patients.,2,2,C01.703
2,Impact of a change in protected environment on the occurrence of severe bacterial and fungal infections in children undergoing hematopoietic stem cell transplantation.,3,2,C01.252
2,Relationship between death and infections among patients hospitalized in internal medicine departments: a prevalence and validation study.,4,1,C01
2,Bacterial and fungal infections in the early post-transplant period after kidney transplantation: etiological agents and their susceptibility.,5,2,C01.252
2,Impact of Antibiotic-Resistant Bacterial and Fungal Infections in Outcome of Acute Pancreatitis.,6,1,C01
2,Systemic inflammatory markers and aspiration cell count may not differentiate bacterial from fungal prosthetic infections.,7,1,C01
2,[Frequency of invasive fungal infections in a Mexican High-Specialty Hospital. Experience of 21 years].,8,3,C01.703.492
2,[Epidemiology of Visceral Mycoses in Autopsy Cases in 2011].,9,2,C01.703
2,Impact of the microbial derived short chain fatty acid propionate on host susceptibility to bacterial and fungal infections in vivo.,10,2,C01.252
2,Epidemiology of bacterial infections in patients with liver cirrhosis. Experience in a Spanish tertiary health center.,11,2,C01.252
2,Spontaneous bacterial and fungal infections in genetically engineered mice: Is Escherichia coli an emerging pathogen in laboratory mouse?,12,2,C01.252
2,Incidence and risk factors of bacterial and fungal infection during induction chemotherapy for high-risk neuroblastoma.,13,3,C01.252.200
2,Health Threats from Contamination of Spices Commercialized in Romania: Risks of Fungal and Bacterial Infections.,14,2,C01.252
2,Topical antifungal-corticosteroid combination therapy for the treatment of superficial mycoses: conclusions of an expert panel meeting.,15,2,C01.703
2,Single-donor granulocyte transfusions for improving the outcome of high-risk pediatric patients with known bacterial and fungal infections undergoing stem cell transplantation: a 10-year single-center experience.,16,1,C01
2,Massive Effect on LncRNAs in Human Monocytes During Fungal and Bacterial Infections and in Response to Vitamins A and D.,17,1,C01
2,Antimicrobial susceptibility of bacterial and fungal infections among infected diabetic patients.,18,1,C01
2,Oral mycoses in avian scavengers exposed to antibiotics from livestock farming.,19,2,C01.703
2,"Polymicrobial bacterial or fungal infections: incidence, spectrum of infection, risk factors, and clinical outcomes from a large hematopoietic stem cell transplant center.",20,1,C01
2,Infections in inflammatory bowel disease.,21,4,C01.539.635.500
2,"Timeline, epidemiology, and risk factors for bacterial, fungal, and viral infections in children and adolescents after allogeneic hematopoietic stem cell transplantation.",22,1,C01
2,Diagnosis and treatment of nonadjacent cryptococcal infections at the L1 and S1 vertebrae.,23,4,C01.703.181.500.500
2,Food safety in scavenger conservation: Diet-associated exposure to livestock pharmaceuticals and opportunist mycoses in threatened Cinereous and Egyptian vultures.,24,3,C01.539.597
2,Genetic polymorphisms in innate immunity receptors do not predict the risk of bacterial and fungal infections and acute rejection after liver transplantation.,25,1,C01
