title,abstract,features,authorlist
"SURVEILLANCE FOR HEMORRHAGIC SEPTICEMIA IN BUFFALO ( BUBALUS BUBALIS) AS AN AID TO RANGE EXPANSION OF THE JAVAN RHINOCEROS ( RHINOCEROS SONDAICUS) IN UJUNG KULON NATIONAL PARK, INDONESIA.","The Javan rhinoceros ( Rhinoceros sondaicus) of Ujung Kulon National Park (UKNP) is the crown jewel of Indonesia's rich natural history. The park lies on a peninsula surrounded by coastline and agriculture-dominated landscapes. The invasion of water buffalo ( Bubalus bubalis) into the park carries a substantial health risk to the Javan rhinoceros and threatens plans to establish a new population outside of its only current range in UKNP. Hemorrhagic septicemia (HS), known locally as septicemia epizootica and caused by Pasteurella multocida B:2, could thwart Indonesia's efforts to expand the range of the Javan rhinoceros. Because HS was considered eradicated from Banten Province, few preventative programs have been available to farmers. During June 2012-July 2013, biologic samples were collected from 770 water buffalo in 19 villages. Deep nasal swabs ( n=85) were taken for bacterial culture and blood samples ( n=770) were collected for serologic testing. No animals were positive on culture. The prevalence of antibody to P. multocida in this population was 1.8% (14 of 770 animals). A structured questionnaire was used to gather information about possible risk factors. Husbandry practices associated with presence of antibody in water buffalo included lack of a permanent area to house buffalo at night, low body condition score (=2), high body temperature (≥40 C), a history of clinical signs or sudden death in the previous year, and a grazing system that utilized significant forage inside the park. Antibody was not associated with sex, age, vaccination status, or season. Understanding HS disease dynamics in the buffalo adjacent to UKNP may improve the livelihoods of people and health of endangered rhinoceroses in this ecosystem.","['Bubalus bubalis', 'Javan rhinoceros', 'Rhinoceros sondaicus', 'Ujung Kulon National Park, Indonesia', 'hemorrhagic septicemia', 'septicemia epizootica', 'water buffalo']","['Kurnia Oktavia Khairani', 'Daryl Nydam', 'M Julia Felippe', 'Pat McDonough', 'Jason Barry', 'Rois Mahmud', 'M Haryono', 'Robin W Radcliffe']"
Host responses and bacterial colonization following inoculation of Pasteurella multocida P<sub>52</sub> strain into unvaccinated and aluminum hydroxide gel hemorrhagic septicemia vaccinated mice.,"Hemorrhagic septicemia is a highly infectious and contagious disease caused by Pasteurella multocida serogroup B:2 in tropical Asian and African countries. The acute inflammatory responses induced by Pasteurella multocida are the main cause of death in hemorrhagic septicemia. Therefore, present study was undertaken to examine the blood cytokine expression profiles (TNF-α, IL-1β, and IL-6), bacterial colonization and histopathological changes of intraperitoneally and subcutaneously challenged vaccinated and unvaccinated mice with 10<sup>2</sup> CFU of P. multocida P<sub>52</sub>. The observations were made at 6, 12, 18, 24 h and 48 h intervals. Real-time PCR based blood cytokine profiles (TNF-α, IL-1β, and IL-6) measurement revealed a significantly higher amount of pro-inflammatory cytokines expression in the unvaccinated challenged group of mice than the vaccinated challenged group. There was heavy bacterial load in all organs of mice viz. trachea, lung, spleen, within 6 h of challenge in both vaccinated and unvaccinated group of mice, but bacterial load increased in the unvaccinated challenged group of mice with respect to time whereas the load were constant in the vaccinated challenged group. Histopathological changes were mild in the vaccinated challenged group of mice in comparison to the unvaccinated challenged group. There was no significant difference in the bacterial load, histopathological changes and cytokines expression when challenged through different routes.","['Bacterial count', 'Cytokine profile', 'Host pathogen response', 'Pasteurella multocida']","['Mamta Singh', 'Rishendra Verma', 'Ramane Sangram Pandit', 'Najeeb Ul Tarfain']"
Viral hemorrhagic septicemia virus (VHSV) infection-mediated sequential changes in microRNAs profile of Epithelioma papulosum cyprini (EPC) cells.,"MicroRNAs are small non-coding RNAs and are involved in the regulation of wide biological processes. Viral hemorrhagic septicemia virus (VHSV) is the causative agent of viral hemorrhagic septicemia (VHS) disease causing a heavy loss in aquaculture farms. In this study, we tried to explore the effect of VHSV infection on microRNAs profile of Epithelioma papulosum cyprini (EPC) cells at different points of time (0, 3, 12, 24, and 48 h post infection). A total of 355 conserved microRNAs and 3 novel microRNAs were identified, and among them, 103 microRNAs were differentially expressed. The number of differentially expressed microRNAs was highly increased at 24 h.p.i compared to 3 h.p.i and 12 h.p.i., suggesting that EPC cells might not actively respond to VHSV infection at an early infection period, which can allow viruses to transcript and translate their genes enough to produce viral particles that can infect to another cells. Among the differentially expressed microRNAs, 2 miRNAs (miR-735 and miR-738) that were reported only in fish species were highly upregulated, and based on the target prediction, they could regulate several immune pathways. Furthermore, the present results showed the upregulation of representative immune regulating microRNAs such as miR-146a, miR-155, and miR-99. The target prediction of differentially expressed miRNAs, GO, and KEGG pathways analysis revealed that several biological processes and different pathways were affected by the viral infection. The present dynamical changing patterns of differentially expressed microRNAs in response to the progression of VHSV infection suggest that microRNA profile that was analyzed at one time point cannot provide enough information for the interpretation of the disease mechanism. Considering the wide and complex interactions between microRNAs and genes expression, the present results provide the basis for the understanding of VHSV infection-mediated cellular responses and for future investigations on the development of possible control measures.","['Epithelioma papulosum cyprini cells', 'MicroRNAs', 'Next-generation sequencing', 'Viral hemorrhagic septicemia virus']","['Abdellaoui Najib', 'Min Sun Kim', 'Ki Hong Kim']"
"Montanide IMS 1312 VG adjuvant enhances the efficacy of immersion vaccine of inactivated viral hemorrhagic septicemia virus (VHSV) in olive flounder, Paralichthys olivaceus.","Vaccination by immersion is suitable for mass vaccination of small size fish. However, no viral vaccine has been developed for immersion applications, because of low efficacy. In this study, we evaluated the efficacy and safety of immersion vaccine against viral hemorrhagic septicemia (VHS) containing Montanide IMS 1312 VG adjuvant in olive flounder (Paralichthys olivaceus). Healthy fish were vaccinated by an immersion method with a heat-inactivated FP-VHS2010-1 strain of VHS virus (VHSV) in combination with Montanide IMS 1312 VG for 5 min at 20 ± 2 °C. The control group was vaccinated with sterile PBS. No toxicity of immersion vaccine with Montanide IMS 1312 VG adjuvant was observed by hematological and histopathological analysis. Immersion vaccine with adjuvant enhanced gene expression of immune-associated genes, i.e., genes encoding interleukin (IL)-1β, IL-6, IL-8, and Toll-like receptor (TLR) 3. Relative percent survival (RPS) of fish was measured on weeks 4 and 8 post vaccination. In fish vaccinated with adjuvant, RPS was significantly higher than that of fish vaccinated without adjuvant. The results of the present study provide evidence that the VHSV immersion vaccine with Montanide IMS 1312 VG induces protective immunity in olive flounder against VHS.","['Adjuvant', 'Immersion vaccine', 'Olive flounder', 'Paralichthys olivaceus', 'Viral hemorrhagic septicemia virus']","['Jee Youn Hwang', 'Mun-Gyeong Kwon', 'Yu Jin Kim', 'Sung-Hee Jung', 'Myoung-Ae Park', 'Maeng-Hyun Son']"
"A DNA vaccine encoding the viral hemorrhagic septicemia virus genotype IVb glycoprotein confers protection in muskellunge (Esox masquinongy), rainbow trout (Oncorhynchus mykiss), brown trout (Salmo trutta), and lake trout (Salvelinus namaycush).","The viral hemorrhagic septicemia virus (VHSV) is one of the most serious fish pathogens. In 2003, a novel sublineage (genotype IVb) of this deadly virus emerged in the Great Lakes basin causing serious fish kills. We have previously demonstrated that a DNA plasmid (pcDNA), containing a cytomegalovirus (CMV) promoter and the viral hemorrhagic septicemia virus (VHSV) genotype IVb glycoprotein (G) gene insert (designated pVHSivb-G) confers moderate protection in muskellunge (Esox masquinongy), a highly susceptible species upon challenge. In order to achieve optimal protection, we investigated a number of factors including the incubation time [i.e. the number of degree days (° days)] before challenge, and viral challenge dose and route. Additionally, we tested if pVHSivb-G provides protection against VHSV-IVb to less susceptible salmonids such as rainbow trout (Oncorhynchus mykiss), brown trout (Salmo trutta) and lake trout (Salvelinus namaycush).An increase in the period lapsed between vaccination and challenge to 1880° days resulted in 95% relative percent protection (RPS) in muskellunge following a single administration of the pVHSivb-G plasmid and viral challenge. An RPS of 100% for muskellunge was achieved with a longer incubation period (2400° days) and in conjunction with a booster dose of the plasmid. The pVHSivb-G vaccine also elicited significant protection in all three salmonid species, reaching 100% RPS in lake trout following an incubation period of 1001° days prior to viral challenge. Vaccination with pVHSivb-G was also associated with the development of significant levels of circulating VHSV-binding antibodies in muskellunge as measured by indirect ELISA, which reached peak levels 6-7 weeks post-vaccination. Viral shedding in vaccinated survivors was minimal and of transient nature.The study shows that the pVHSivb-G plasmid can elicit a protective response against the wild virus strain in a range of species important in recreational and commercial Great Lakes fisheries.","['DNA vaccine', 'Fish', 'Viral hemorrhagic septicemia virus']","['Isaac F Standish', 'Elena V Millard', 'Travis O Brenden', 'Mohamed Faisal']"
Development of loop-mediated isothermal amplification-based diagnostic assays for detection of Pasteurella multocida and hemorrhagic septicemia-associated P multocida serotype B:2.,"OBJECTIVE To develop 2 rapid loop-mediated isothermal amplification (LAMP) assays for detection of Pasteurella multocida DNA (Pm-LAMP assay) and P multocida DNA from strains associated with hemorrhagic septicemia (HS) in cattle and buffalo (HS-LAMP assay). SAMPLE Solutions containing 16 P multocida strains and 9 other bacterial species at various concentrations. PROCEDURES Optimal conditions were determined for running the Pm-LAMP and HS-LAMP assays. The assays were then used to detect DNA of the test organisms. Results of LAMP assays were validated against conventional PCR assays designed for specific detection of P multocida and the B:2 serotype of HS-associated strains. RESULTS Following incubation of sample reaction mixtures for 27 minutes, specificity and sensitivity of the HS-LAMP assay at template DNA amounts as low as 5 pg were 93% and 97%, respectively. When duplicates of each sample were incubated for 28 minutes (a positive result defined as positive results for both reactions of a given sample), specificity and sensitivity of the HS-LAMP assay in the same conditions increased to 100%. The best specificity and sensitivity of Pm-LAMP single (93% and 91%) and duplicate (97% and 98%) reactions at template DNA amounts as low as 10 pg were achieved at 33 and 34 minutes, respectively. CONCLUSIONS AND CLINICAL RELEVANCE These preliminary findings suggested the developed HS-LAMP assay had high sensitivity and specificity for detection of HS-associated P multocida. Additional research is needed to determine the accuracy of the assay for use on clinical specimens obtained in HS-endemic countries such as Pakistan and Thailand.",[],"['Ahmed M Moustafa', 'Mark D Bennett']"
Ontogeny of anti-viral hemorrhagic septicemia virus (VHSV) immunity in developing Japanese flounder.,"We examined the ability of developing Japanese flounder (Paralichthys olivaceus) to acquire protective immunity after exposure to viral hemorrhagic septicemia virus (VHSV). Juveniles measuring 9.8 cm average body length were not susceptible to infection with VHSV at 20 °C, while the smaller fish were susceptible. Mortality was not observed after secondary infection at 15 °C in the 9.8 cm cohort that had previously been exposed to the virus at 20 °C, while the smaller fish were susceptible to secondary infection. The expression of interferon (IFN)-related genes was shown to be better developed in larger fish upon virus infection and basal expression levels of the virus recognition proteins were higher in larger fish. Virus-specific antibody was detected in the larger fish, but not in smaller fish. These data indicate that the largest juvenile (9.8 cm) acquired immunity against VHSV infection at the first virus challenge, but smaller fish did not. The anti-viral immune system in the Japanese flounder matures when juveniles reach approximately 10 cm.",[],"['Tomomasa Matsuyama', 'Chihaya Nakayasu', 'Atsushi Fujiwara', 'Jun Kurita', 'Tomokazu Takano', 'Takafumi Ito', 'Motohiko Sano']"
CRISPR/Cas9-mediated knockout of HIF-1α gene in epithelioma papulosum cyprini (EPC) cells inhibited apoptosis and viral hemorrhagic septicemia virus (VHSV) growth.,"Hypoxia-inducible factor-1 (HIF-1) is a heterodimer of HIF-1α and HIF-1β, and its key role in the regulation of cellular responses to hypoxia has been well-demonstrated. The participation of HIF-1α in apoptosis has been reported in mammals, however, a little information is available on the role of HIF-1α in the progression of apoptosis in fish. In this study, to know the role of HIF-1α in the apoptosis of fish cells, we produced HIF-1α knockout Epithelioma papulosum cyprini (EPC) cells using a CRISPR/Cas9 vector, and a single cell clone showing a heterozygous insertion/deletion (indel) mutation (one nucleotide insertion and one nucleotide deletion in HIF-1α gene) was chosen for further experiments. To confirm the knockout of HIF-1α, cells were transfected with a hypoxia reporting vector containing hypoxic response elements (HREs). EPC cells transfected with the reporting plasmids showed significantly increased luminescence by exposure to cobalt chloride, a prolyl hydroxylases inhibitor. On the other hand, HIF-1α knockout EPC cells showed a non-responsiveness to a cobalt chloride exposure, suggesting that functional HIF-1α protein was not produced in the HIF-1α knockout EPC cells. Apoptosis progression induced by camptothecin and viral hemorrhagic septicemia virus (VHSV) infection was severely inhibited by HIF-1α knockout, and the replication of VHSV was significantly retarded in HIF-1α knockout EPC cells. These results suggest that HIF-1α in EPC cells acts as a pro-apoptotic factor in the progression of apoptosis triggered by a DNA damaging agent and rhabdoviral infection.",[],"['Min Sun Kim', 'Ki Hong Kim']"
Development of Pasteurella multocida-loaded microparticles for hemorrhagic septicemia vaccine.,"In this study, Pasteurella multocida-loaded alginate microparticles (MPs) for subcutaneous vaccination was developed by emulsification-cross-linking technique. Formulation parameter was varied as a ratio of polymer and bacterin. Optical microscopy revealed spherical particles with uniformly distribution. A mean particle size of approximately 6 µm has been successfully constructed using simple mixer and ultrasonic probe. The zeta potential of the MPs showed negatively charge of approximately -23 mV determined by Zeta Pals® analyzer. The entrapment efficiency and the in vitro bacterin released profile could be controlled by varying the amount of alginate. The high entrapment efficiency up to 69% was achieved with low concentration of alginate. The MPs possessed a slow bacterin release profile, up to 30 days. In vivo safety and potency tests were proved that the alginate MPs were safe and induced protective immunity in mice. In addition, after storage for 6 months at either 4 °C or room temperature, the protective immunity in mice was maintained. ","['Alginate', 'Pasteurella multocida', 'hemorrhagic septicemia', 'microparticles', 'vaccine']","['Pataranapa Nimtrakul', 'Ratchanee Atthi', 'Nanteetip Limpeanchob', 'Waree Tiyaboonchai']"
Introduction of Viral Hemorrhagic Septicemia Virus into Freshwater Cultured Rainbow Trout Is Followed by Bursts of Adaptive Evolution.,"<i>Viral hemorrhagic septicemia virus</i> (VHSV), a rhabdovirus infecting teleost fish, has repeatedly crossed the boundary from marine fish species to freshwater cultured rainbow trout. These naturally replicated cross-species transmission events permit the study of general and repeatable evolutionary events occurring in connection with viral emergence in a novel host species. The purpose of the present study was to investigate the adaptive molecular evolution of the VHSV glycoprotein, one of the key virus proteins involved in viral emergence, following emergence from marine species into freshwater cultured rainbow trout. A comprehensive phylogenetic reconstruction of the complete coding region of the VHSV glycoprotein was conducted, and adaptive molecular evolution was investigated using a maximum likelihood approach to compare different codon substitution models allowing for heterogeneous substitution rate ratios among amino acid sites. Evidence of positive selection was detected at six amino acid sites of the VHSV glycoprotein, within the signal peptide, the confirmation-dependent major neutralizing epitope, and the intracellular tail. Evidence of positive selection was found exclusively in rainbow trout-adapted virus isolates, and amino acid combinations found at the six sites under positive selection pressure differentiated rainbow trout- from non-rainbow trout-adapted isolates. Furthermore, four adaptive sites revealed signs of recurring identical changes across phylogenetic groups of rainbow trout-adapted isolates, suggesting that repeated VHSV emergence in freshwater cultured rainbow trout was established through convergent routes of evolution that are associated with immune escape.<b>IMPORTANCE</b> This study is the first to demonstrate that VHSV emergence from marine species into freshwater cultured rainbow trout has been accompanied by bursts of adaptive evolution in the VHSV glycoprotein. Furthermore, repeated detection of the same adaptive amino acid sites across phylogenetic groups of rainbow trout-adapted isolates indicates that adaptation to rainbow trout was established through parallel evolution. In addition, signals of convergent evolution toward the maintenance of genetic variation were detected in the conformation-dependent neutralizing epitope or in close proximity to disulfide bonds involved in the structural conformation of the neutralizing epitope, indicating adaptation to immune response-related genetic variation across freshwater cultured rainbow trout.","['VHSV', 'adaptation', 'convergent evolution', 'host-pathogen interactions', 'negative-strand RNA virus', 'viral emergence', 'viral hemorrhagic septicemia virus']","['Anna A Schönherz', 'Roald Forsberg', 'Bernt Guldbrandtsen', 'Albert J Buitenhuis', 'Katja Einer-Jensen']"
